,Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
14,Chona,2022-08-18 02:29:17,00:22:16,,The Good Place: Temporada 4: La respuesta (Capítulo 9),,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
15,Chona,2022-08-18 02:05:56,00:21:22,,The Good Place: Temporada 4: El funeral para terminar con todos los funerales (Capítulo 8),,Apple Apple TV 4 Apple TV,00:21:30,00:21:30,AR (Argentina)
16,Chona,2022-08-18 01:44:31,00:21:24,,The Good Place: Temporada 4: Ayuda a otras personas (Capítulo 7),,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
17,Chona,2022-08-18 01:15:41,00:21:23,,The Good Place: Temporada 4: El misterio de Chip Driver (Capítulo 6),,Apple Apple TV 4 Apple TV,00:21:31,00:21:31,AR (Argentina)
18,Chona,2022-08-18 00:32:29,00:10:51,,The Good Place: Temporada 4: Empleado del Bearimy (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:36,00:21:36,AR (Argentina)
19,Chona,2022-08-17 02:22:16,00:17:47,Autoplayed: user action: None; ,The Good Place: Temporada 4: Empleado del Bearimy (Capítulo 5),,Apple Apple TV 4 Apple TV,00:17:35,Not latest view,AR (Argentina)
20,Chona,2022-08-17 02:00:03,00:22:08,,"The Good Place: Temporada 4: Juguetón, sastre, demonio, espía (Capítulo 4)",,Apple Apple TV 4 Apple TV,00:21:36,00:21:36,AR (Argentina)
21,Chona,2022-08-17 01:38:28,00:21:24,,The Good Place: Temporada 4: Chilajado (Capítulo 3),,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
22,Chona,2022-08-17 01:31:58,00:06:03,,The Good Place: Temporada 4: Una chica de Arizona - Parte 2 (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:36,00:21:36,AR (Argentina)
23,Chona,2022-08-17 00:38:25,00:15:08,,The Good Place: Temporada 4: Una chica de Arizona - Parte 2 (Capítulo 2),,Apple Apple TV 4 Apple TV,00:15:33,Not latest view,AR (Argentina)
24,Chona,2022-08-17 00:15:56,00:22:08,,The Good Place: Temporada 4: Una chica de Arizona - Parte 1 (Capítulo 1),,Apple Apple TV 4 Apple TV,00:22:35,00:22:35,AR (Argentina)
25,Chona,2022-08-16 03:35:43,00:03:50,,The Good Place: Temporada 4: Una chica de Arizona - Parte 1 (Capítulo 1),,Apple Apple TV 4 Apple TV,00:04:34,Not latest view,AR (Argentina)
26,Chona,2022-08-16 03:14:03,00:21:35,,The Good Place: Temporada 3: Pandemonio (Capítulo 12),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
27,Chona,2022-08-16 02:49:11,00:22:17,,The Good Place: Temporada 3: Chidi ve la Cuchilla del Tiempo (Capítulo 11),,Apple Apple TV 4 Apple TV,00:21:33,00:21:33,AR (Argentina)
28,Chona,2022-08-16 02:27:42,00:21:28,,The Good Place: Temporada 3: El libro de los Dougs (Capítulo 10),,Apple Apple TV 4 Apple TV,00:21:36,00:21:36,AR (Argentina)
29,Chona,2022-08-16 01:54:58,00:22:37,,The Good Place: Temporada 3: Janet(s) (Capítulo 9),,Apple Apple TV 4 Apple TV,00:22:32,00:22:32,AR (Argentina)
30,Chona,2022-08-16 01:33:30,00:21:27,,The Good Place: Temporada 3: Que la buena vida no te pase de largo (Capítulo 8),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
31,Chona,2022-08-16 01:12:04,00:21:26,,The Good Place: Temporada 3: El peor uso posible del libre albedrío (Capítulo 7),,Apple Apple TV 4 Apple TV,00:21:34,00:21:34,AR (Argentina)
32,Chona,2022-08-16 00:47:53,00:21:55,,The Good Place: Temporada 3: Lazos fracturados (Capítulo 6),,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
33,Chona,2022-08-15 20:13:29,00:00:21,Autoplayed: user action: None; ,The Good Place: Temporada 3: Lazos fracturados (Capítulo 6),,Apple Apple TV 4 Apple TV,00:00:30,Not latest view,AR (Argentina)
34,Chona,2022-08-15 19:51:52,00:21:27,,The Good Place: Temporada 3: La balada de Donkey Doug (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
35,Chona,2022-08-15 19:29:44,00:21:35,,The Good Place: Temporada 3: Jeremy Bearimy (Capítulo 4),,Apple Apple TV 4 Apple TV,00:21:40,00:21:40,AR (Argentina)
36,Chona,2022-08-15 19:05:03,00:21:32,,The Good Place: Temporada 3: El quitanieves (Capítulo 3),,Apple Apple TV 4 Apple TV,00:21:40,00:21:40,AR (Argentina)
37,Chona,2022-08-15 18:43:22,00:21:40,,The Good Place: Temporada 3: La tribu de los cerebritos (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:40,00:21:40,AR (Argentina)
38,Chona,2022-08-15 17:36:01,00:43:22,,The Good Place: Temporada 3: Todo está fenomenal (Capítulo 1),,Apple Apple TV 4 Apple TV,00:43:08,00:43:08,AR (Argentina)
39,Chona,2022-08-15 17:06:29,00:21:37,,The Good Place: Temporada 2: Otro lugar (Capítulo 12),,Apple Apple TV 4 Apple TV,00:21:37,00:21:37,AR (Argentina)
40,Chona,2022-08-15 15:10:49,00:00:05,Autoplayed: user action: None; ,The Good Place: Temporada 2: Otro lugar (Capítulo 12),,Apple Apple TV 4 Apple TV,00:00:14,Not latest view,AR (Argentina)
41,Chona,2022-08-15 15:02:57,00:07:33,,The Good Place: Temporada 2: El burrito (Capítulo 11),,Apple Apple TV 4 Apple TV,00:21:41,00:21:41,AR (Argentina)
42,Chona,2022-08-15 02:26:29,00:14:10,Autoplayed: user action: None; ,The Good Place: Temporada 2: El burrito (Capítulo 11),,Apple Apple TV 4 Apple TV,00:14:19,Not latest view,AR (Argentina)
43,Chona,2022-08-15 02:04:54,00:21:32,,"The Good Place: Temporada 2: Rhonda, Diana, Jake y Trent (Capítulo 10)",,Apple Apple TV 4 Apple TV,00:21:42,00:21:42,AR (Argentina)
44,Chona,2022-08-15 01:22:14,00:23:35,,The Good Place: Temporada 2: Mi mejor versión (Capítulo 9),,Apple Apple TV 4 Apple TV,00:21:41,00:21:41,AR (Argentina)
45,Chona,2022-08-15 01:00:35,00:21:35,,The Good Place: Temporada 2: Acto de fe (Capítulo 8),,Apple Apple TV 4 Apple TV,00:21:44,00:21:44,AR (Argentina)
46,Chona,2022-08-15 00:21:55,00:21:31,,The Good Place: Temporada 2: Derek (Capítulo 7),,Apple Apple TV 4 Apple TV,00:21:41,00:21:41,AR (Argentina)
47,Chona,2022-08-15 00:00:21,00:21:34,,The Good Place: Temporada 2: Janet y Michael (Capítulo 6),,Apple Apple TV 4 Apple TV,00:21:43,00:21:43,AR (Argentina)
48,Chona,2022-08-14 23:38:46,00:21:34,,The Good Place: Temporada 2: El dilema del tranvía (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:43,00:21:43,AR (Argentina)
49,Chona,2022-08-14 23:16:22,00:21:32,,The Good Place: Temporada 2: Crisis existencial (Capítulo 4),,Apple Apple TV 4 Apple TV,00:21:41,00:21:41,AR (Argentina)
50,Chona,2022-08-14 22:54:48,00:21:34,,The Good Place: Temporada 2: Cucarachas (Capítulo 3),,Apple Apple TV 4 Apple TV,00:21:43,00:21:43,AR (Argentina)
51,Chona,2022-08-14 22:31:36,00:21:44,,The Good Place: Temporada 2: Decisión de bailar bailar (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:41,00:21:41,AR (Argentina)
52,Chona,2022-08-14 21:34:47,00:40:39,,The Good Place: Temporada 2: ¡Todo marcha genial! (Capítulo 1),,Apple Apple TV 4 Apple TV,00:42:45,00:42:45,AR (Argentina)
53,Chona,2022-08-14 21:30:21,00:04:23,,The Good Place: Temporada 1: La maniobra de Michael (Capítulo 13),,Apple Apple TV 4 Apple TV,00:21:34,00:21:34,AR (Argentina)
54,Chona,2022-08-14 21:30:03,00:00:05,Autoplayed: user action: None; ,The Good Place: Temporada 1 (Tráiler),TRAILER,Apple Apple TV 4 Apple TV,00:00:06,00:00:06,AR (Argentina)
55,Chona,2022-08-12 02:52:38,00:17:02,,The Good Place: Temporada 1: La maniobra de Michael (Capítulo 13),,Apple Apple TV 4 Apple TV,00:17:11,Not latest view,AR (Argentina)
56,Chona,2022-08-12 02:52:38,00:16:59,Autoplayed: user action: None; ,The Good Place: Temporada 1: La maniobra de Michael (Capítulo 13),,Apple Apple TV 4 Apple TV,00:17:08,Not latest view,AR (Argentina)
57,Chona,2022-08-12 02:31:11,00:21:26,,The Good Place: Temporada 1: Mindy St. Claire (Capítulo 12),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
58,Chona,2022-08-12 02:09:44,00:21:26,,The Good Place: Temporada 1: Cuál es mi motivación (Capítulo 11),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
59,Chona,2022-08-12 01:46:58,00:21:30,,The Good Place: Temporada 1: La decisión de Chidi (Capítulo 10),,Apple Apple TV 4 Apple TV,00:21:39,00:21:39,AR (Argentina)
60,Chona,2022-08-12 01:25:28,00:21:30,,The Good Place: Temporada 1: ...con alguien como yo como miembro (Capítulo 9),,Apple Apple TV 4 Apple TV,00:21:39,00:21:39,AR (Argentina)
61,Chona,2022-08-12 01:03:09,00:21:26,,The Good Place: Temporada 1: El mayor progreso del año (Capítulo 8),,Apple Apple TV 4 Apple TV,00:21:35,00:21:35,AR (Argentina)
62,Chona,2022-08-12 00:41:31,00:21:38,,The Good Place: Temporada 1: El chillido eterno (Capítulo 7),,Apple Apple TV 4 Apple TV,00:21:38,00:21:38,AR (Argentina)
63,Chona,2022-08-10 23:27:09,00:21:23,,The Good Place: Temporada 1: Lo que nos debemos los unos a los otros (Capítulo 6),,Apple Apple TV 4 Apple TV,00:21:32,00:21:32,AR (Argentina)
64,Chona,2022-08-10 23:05:39,00:21:30,,The Good Place: Temporada 1: Emergencia de crisis apocalíptica categoría 55 (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:39,00:21:39,AR (Argentina)
65,Chona,2022-08-10 22:44:08,00:21:30,,The Good Place: Temporada 1: Jason Mendoza (Capítulo 4),,Apple Apple TV 4 Apple TV,00:21:39,00:21:39,AR (Argentina)
66,Chona,2022-08-10 22:38:50,00:04:54,,The Good Place: Temporada 1: Tahani Al-Jamil (Capítulo 3),,Apple Apple TV 4 Apple TV,00:21:42,00:21:42,AR (Argentina)
67,Chona,2022-08-10 02:27:29,00:16:48,,The Good Place: Temporada 1: Tahani Al-Jamil (Capítulo 3),,Apple Apple TV 4 Apple TV,00:16:48,Not latest view,AR (Argentina)
68,Chona,2022-08-10 01:56:30,00:21:31,,The Good Place: Temporada 1: Volando (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:31,00:21:31,AR (Argentina)
69,Chona,2022-08-10 01:48:10,00:00:02,,The Good Place: Temporada 1: Volando (Capítulo 2),,Apple Apple TV 4 Apple TV,00:00:03,Not latest view,AR (Argentina)
70,Chona,2022-08-10 01:24:24,00:23:08,,The Good Place: Temporada 1: Todo está bien (Capítulo 1),,Apple Apple TV 4 Apple TV,00:22:58,00:22:58,AR (Argentina)
71,Chona,2022-08-09 23:16:31,00:09:29,,Better Call Saul: Temporada 4: Humo (Capítulo 1),,Apple Apple TV 4 Apple TV,00:09:30,00:09:30,AR (Argentina)
72,Chona,2022-08-09 23:15:51,00:00:04,Autoplayed: user action: None; ,Better Call Saul: Season 3_hook_primary_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:05,00:00:05,AR (Argentina)
73,Chona,2022-08-07 02:33:56,02:17:30,,Stranger Things: Stranger Things 4: Capítulo nueve: El huésped (Capítulo 9),,Apple Apple TV 4 Apple TV,02:19:56,02:19:56,AR (Argentina)
74,Chona,2022-08-06 19:16:42,01:22:13,,Stranger Things: Stranger Things 4: Capítulo ocho: Papá (Capítulo 8),,Safari MAC (Cadmium),01:22:13,01:22:13,AR (Argentina)
75,Chona,2022-08-06 19:16:34,00:00:05,Autoplayed: user action: None; ,Batch 2 (Clip 2): Batch 2,HOOK,Safari MAC (Cadmium),00:00:05,00:00:05,AR (Argentina)
76,Chona,2022-08-06 18:11:08,00:32:57,,Stranger Things: Stranger Things 4: Capítulo siete: Masacre en el laboratorio Hawkins (Capítulo 7),,Apple Apple TV 4 Apple TV,01:35:47,01:35:47,AR (Argentina)
77,Chona,2022-08-06 16:10:12,01:03:30,,Stranger Things: Stranger Things 4: Capítulo siete: Masacre en el laboratorio Hawkins (Capítulo 7),,Apple Apple TV 4 Apple TV,01:03:30,Not latest view,AR (Argentina)
78,Chona,2022-08-06 14:58:22,01:09:29,,Stranger Things: Stranger Things 4: Capítulo seis: En lo profundo (Capítulo 6),,Apple Apple TV 4 Apple TV,01:10:15,01:10:15,AR (Argentina)
79,Chona,2022-08-06 04:09:12,01:11:51,,Stranger Things: Stranger Things 4: Capítulo cinco: Proyecto Nina (Capítulo 5),,Apple Apple TV 4 Apple TV,01:11:45,01:11:45,AR (Argentina)
80,Chona,2022-08-06 02:53:42,01:13:34,,Stranger Things: Stranger Things 4: Capítulo cuatro: Querido Billy (Capítulo 4),,Apple Apple TV 4 Apple TV,01:14:19,01:14:19,AR (Argentina)
81,Chona,2022-08-06 02:41:48,00:00:09,,Stranger Things: Stranger Things 4: Capítulo tres: ¿Monstruo o superheroína? (Capítulo 3),,Apple Apple TV 4 Apple TV,00:58:28,00:58:28,AR (Argentina)
82,Chona,2022-08-06 01:56:39,00:33:15,,Stranger Things: Stranger Things 4: Capítulo tres: ¿Monstruo o superheroína? (Capítulo 3),,Apple Apple TV 4 Apple TV,00:58:19,Not latest view,AR (Argentina)
83,Chona,2022-08-06 00:43:04,00:14:17,,Stranger Things: Stranger Things 4: Capítulo tres: ¿Monstruo o superheroína? (Capítulo 3),,Apple Apple TV 4 Apple TV,00:25:15,Not latest view,AR (Argentina)
84,Chona,2022-08-06 00:31:14,00:10:52,,Stranger Things: Stranger Things 4: Capítulo tres: ¿Monstruo o superheroína? (Capítulo 3),,Apple Apple TV 4 Apple TV,00:10:58,Not latest view,AR (Argentina)
85,Chona,2022-08-05 23:13:09,01:12:31,,Stranger Things: Stranger Things 4: Capítulo dos: La maldición de Vecna (Capítulo 2),,Apple Apple TV 4 Apple TV,01:12:43,01:12:43,AR (Argentina)
86,Chona,2022-08-05 02:40:19,00:01:07,Autoplayed: user action: None; ,Batch 2 (Clip): Batch 2,HOOK,Apple Apple TV 4 Apple TV,00:01:07,00:01:07,AR (Argentina)
87,Chona,2022-08-05 01:25:21,01:13:06,,Stranger Things: Stranger Things 4: Capítulo uno: El club (Capítulo 1),,Apple Apple TV 4 Apple TV,01:13:06,01:13:06,AR (Argentina)
88,Chona,2022-08-05 01:21:38,00:03:42,,Resumen: Stranger Things,RECAP,Apple Apple TV 4 Apple TV,00:03:42,00:03:42,AR (Argentina)
89,Chona,2022-07-16 22:28:48,01:40:03,,Mr. Holmes,,Apple Apple TV 4 Apple TV,01:39:52,01:39:52,AR (Argentina)
90,Chona,2022-06-25 01:26:56,00:19:44,,Brooklyn Nine-Nine: Temporada 7: Golpe pascual de Halloween y San Valentín (Capítulo 11),,Apple Apple TV 4 Apple TV,00:19:58,00:19:58,AR (Argentina)
91,Chona,2022-06-25 01:25:41,00:00:11,Autoplayed: user action: None; ,Brooklyn Nine-Nine: Season 1_hook_primary_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:12,00:00:12,AR (Argentina)
92,Chona,2022-06-23 02:44:56,00:06:14,,Community: Temporada 1: Communication Studies (Capítulo 16),,Apple Apple TV 4 Apple TV,00:06:15,00:06:15,AR (Argentina)
93,Chona,2022-06-23 02:14:57,00:21:22,,Community: Temporada 1: Romantic Expressionism (Capítulo 15),,Apple Apple TV 4 Apple TV,00:21:23,00:21:23,AR (Argentina)
94,Chona,2022-06-23 01:54:03,00:20:46,,Community: Temporada 1: Interpretive Dance (Capítulo 14),,Apple Apple TV 4 Apple TV,00:20:47,00:20:47,AR (Argentina)
95,Chona,2022-06-23 01:32:36,00:21:18,,Community: Temporada 1: Investigative Journalism (Capítulo 13),,Apple Apple TV 4 Apple TV,00:21:18,00:21:18,AR (Argentina)
96,Chona,2022-06-23 01:14:49,00:17:39,,Community: Temporada 1: Comparative Religion (Capítulo 12),,Apple Apple TV 4 Apple TV,00:21:22,00:21:22,AR (Argentina)
97,Chona,2022-06-23 01:14:00,00:00:35,,Community: Temporada 1: Environmental Science (Capítulo 10),,Apple Apple TV 4 Apple TV,00:00:35,00:00:35,AR (Argentina)
98,Chona,2022-06-23 00:35:39,00:03:21,,Community: Temporada 1: Comparative Religion (Capítulo 12),,Apple Apple TV 4 Apple TV,00:03:43,Not latest view,AR (Argentina)
99,Chona,2022-06-23 00:13:56,00:21:14,,Community: Temporada 1: The Politics of Human Sexuality (Capítulo 11),,Apple Apple TV 4 Apple TV,00:21:15,00:21:15,AR (Argentina)
100,Chona,2022-06-22 23:52:28,00:21:24,,Community: Temporada 1: Environmental Science (Capítulo 10),,Apple Apple TV 4 Apple TV,00:21:24,Not latest view,AR (Argentina)
101,Chona,2022-06-22 23:29:05,00:21:22,,Community: Temporada 1: Debate 109 (Capítulo 9),,Apple Apple TV 4 Apple TV,00:21:22,00:21:22,AR (Argentina)
102,Chona,2022-06-22 02:49:49,00:20:28,,Community: Temporada 1: Home Economics (Capítulo 8),,Apple Apple TV 4 Apple TV,00:20:29,00:20:29,AR (Argentina)
103,Chona,2022-06-22 02:27:06,00:21:22,,Community: Temporada 1: Introduction to Statistics (Capítulo 7),,Apple Apple TV 4 Apple TV,00:21:22,00:21:22,AR (Argentina)
104,Chona,2022-06-22 02:27:00,00:00:04,Autoplayed: user action: None; ,Community: Season 1_hook_04_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:05,00:00:05,AR (Argentina)
105,Chona,2022-06-22 02:05:33,00:21:25,,"Community: Temporada 1: Football, Feminism and You (Capítulo 6)",,Apple Apple TV 4 Apple TV,00:21:25,00:21:25,AR (Argentina)
106,Chona,2022-06-22 01:44:14,00:21:12,,Community: Temporada 1: Advanced Criminal Law (Capítulo 5),,Apple Apple TV 4 Apple TV,00:21:12,00:21:12,AR (Argentina)
107,Chona,2022-06-19 01:18:42,00:40:13,,Designated Survivor: Temporada 2: Equilibrio (Capítulo 4),,Apple Apple TV 4 Apple TV,00:40:14,00:40:14,AR (Argentina)
108,Chona,2022-06-19 01:15:41,00:00:01,Autoplayed: user action: None; ,Designated Survivor: Temporada 2: Equilibrio (Capítulo 4),,Apple Apple TV 4 Apple TV,00:01:01,Not latest view,AR (Argentina)
109,Chona,2022-06-19 00:33:48,00:41:52,,Designated Survivor: Temporada 2: El brote (Capítulo 3),,Apple Apple TV 4 Apple TV,00:41:53,00:41:53,AR (Argentina)
110,Chona,2022-06-19 00:33:25,00:00:11,Autoplayed: user action: None; ,Stranger Things 4 (Clip): Stranger Things,HOOK,Apple Apple TV 4 Apple TV,00:00:12,00:00:12,AR (Argentina)
111,Chona,2022-06-14 01:53:54,00:22:23,,Community: Temporada 1: Social Psychology (Capítulo 4),,Apple Apple TV 4 Apple TV,00:22:23,Not latest view,AR (Argentina)
112,Chona,2022-06-14 01:31:48,00:21:00,,Community: Temporada 1: English as a Second Language (Capítulo 24),,Apple Apple TV 4 Apple TV,00:21:12,00:21:12,AR (Argentina)
113,Chona,2022-06-14 01:31:02,00:00:13,Autoplayed: user action: None; ,Community: Season 1_hook_04_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:14,Not latest view,AR (Argentina)
114,Chona,2022-06-12 23:35:30,00:41:26,,Designated Survivor: Temporada 2: Ponzoña (Capítulo 2),,Apple Apple TV 4 Apple TV,00:41:26,00:41:26,AR (Argentina)
115,Chona,2022-06-06 00:22:19,00:41:13,,Designated Survivor: Temporada 2: Un año (Capítulo 1),,Apple Apple TV 4 Apple TV,00:41:13,00:41:13,AR (Argentina)
116,Chona,2022-06-06 00:22:09,00:00:05,Autoplayed: user action: None; ,Designated Survivor: Temporada 3 (Tráiler de la franquicia),RECAP,Apple Apple TV 4 Apple TV,00:00:06,00:00:06,AR (Argentina)
117,Chona,2022-05-27 01:18:51,00:40:09,,Designated Survivor: Temporada 1: Prepárate para el impacto (Capítulo 21),,Apple Apple TV 4 Apple TV,00:40:58,00:40:58,AR (Argentina)
118,Chona,2022-05-27 00:36:26,00:39:57,,Designated Survivor: Temporada 1: Bombazo (Capítulo 20),,Apple Apple TV 4 Apple TV,00:40:50,00:40:50,AR (Argentina)
119,Chona,2022-05-27 00:33:59,00:02:21,,Designated Survivor (Tráiler),TRAILER,Apple Apple TV 4 Apple TV,00:02:22,00:02:22,AR (Argentina)
120,Chona,2022-05-26 01:05:15,00:00:45,Autoplayed: user action: None; ,Designated Survivor: Temporada 1: Bombazo (Capítulo 20),,Apple Apple TV 4 Apple TV,00:01:44,Not latest view,AR (Argentina)
121,Chona,2022-05-26 00:24:16,00:40:59,,Designated Survivor: Temporada 1: Alianza improbable (Capítulo 19),,Apple Apple TV 4 Apple TV,00:40:59,00:40:59,AR (Argentina)
122,Chona,2022-05-22 23:46:01,00:41:38,,Designated Survivor: Temporada 1: Lázaro (Capítulo 18),,Apple Apple TV 4 Apple TV,00:41:28,00:41:28,AR (Argentina)
123,Chona,2022-05-14 23:41:48,00:00:07,Autoplayed: user action: None; ,Better Call Saul: Temporada 2 (Tráiler),TRAILER,Apple Apple TV 4 Apple TV,00:00:08,00:00:08,AR (Argentina)
124,Chona,2022-05-10 02:07:43,00:14:16,,Community: Temporada 2: Accounting for Lawyers (Capítulo 2),,Apple Apple TV 4 Apple TV,00:14:37,00:14:37,AR (Argentina)
125,Chona,2022-05-10 01:46:10,00:21:10,,Community: Temporada 1: The Art of Discourse (Capítulo 22),,Apple Apple TV 4 Apple TV,00:21:11,00:21:11,AR (Argentina)
126,Chona,2022-05-06 00:12:37,00:14:11,,Designated Survivor: Temporada 1: El noveno juez (Capítulo 17),,Apple Apple TV 4 Apple TV,00:41:46,00:41:46,AR (Argentina)
127,Chona,2022-05-01 23:47:43,00:19:35,,Brooklyn Nine-Nine: Temporada 6: Hitchcock y Scully (Capítulo 2),,Apple Apple TV 4 Apple TV,00:21:29,00:21:29,AR (Argentina)
128,Chona,2022-05-01 23:45:32,00:00:06,Autoplayed: user action: None; ,Temporada 6 (Tráiler): Better Call Saul,TRAILER,Apple Apple TV 4 Apple TV,00:00:07,00:00:07,AR (Argentina)
129,Chona,2022-05-01 01:01:42,00:00:01,Autoplayed: user action: None; ,Casi feliz: Temporada 1: Episodio 3 (Capítulo 3),,Apple Apple TV 4 Apple TV,00:00:06,00:00:06,AR (Argentina)
130,Chona,2022-05-01 00:39:46,00:21:54,,Casi feliz: Temporada 1: Episodio 2 (Capítulo 2),,Apple Apple TV 4 Apple TV,00:22:30,00:22:30,AR (Argentina)
131,Chona,2022-05-01 00:16:26,00:22:49,,Casi feliz: Temporada 1: Episodio 1 (Capítulo 1),,Apple Apple TV 4 Apple TV,00:22:50,00:22:50,AR (Argentina)
132,Chona,2022-05-01 00:16:16,00:00:04,Autoplayed: user action: None; ,Season 2 Main Character Intro Clip: Casi feliz,HOOK,Apple Apple TV 4 Apple TV,00:00:05,00:00:05,AR (Argentina)
133,Chona,2022-05-01 00:15:55,00:00:05,Autoplayed: user action: None; ,Tráiler: El juicio de los 7 de Chicago,TRAILER,Apple Apple TV 4 Apple TV,00:00:06,00:00:06,AR (Argentina)
134,Chona,2022-05-01 00:15:24,00:00:17,Autoplayed: user action: None; ,The Spy: Limited Series_hook_03_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:18,00:00:18,AR (Argentina)
135,Chona,2022-05-01 00:14:32,00:00:21,Autoplayed: user action: None; ,Shutter Island_hook_primary_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:22,00:00:22,AR (Argentina)
136,Chona,2022-05-01 00:14:16,00:00:06,Autoplayed: user action: None; ,Challenger: Season 1 PVS Clip 1,HOOK,Apple Apple TV 4 Apple TV,00:00:07,00:00:07,AR (Argentina)
137,Chona,2022-05-01 00:13:56,00:00:13,Autoplayed: user action: None; ,Guardaespaldas: Temporada 1 (Tráiler),TRAILER,Apple Apple TV 4 Apple TV,00:00:14,00:00:14,AR (Argentina)
138,Chona,2022-05-01 00:12:46,00:00:26,Autoplayed: user action: None; ,Drive_hook_06_16x9,HOOK,Apple Apple TV 4 Apple TV,00:00:26,00:00:26,AR (Argentina)
139,Chona,2022-05-01 00:12:19,00:00:04,Autoplayed: user action: None; ,Temporada 4 (Parte 1): Ozark (Tráiler 2),TRAILER,Apple Apple TV 4 Apple TV,00:00:05,00:00:05,AR (Argentina)
140,Chona,2022-04-30 01:37:15,00:00:01,Autoplayed: user action: None; ,Designated Survivor: Temporada 1: El noveno juez (Capítulo 17),,Apple Apple TV 4 Apple TV,00:00:49,Not latest view,AR (Argentina)
